task,repo,n,npass,pass_rate,n_steps,first_step,last_step,mean_step,first_solved_step,early_pass_rate,late_pass_rate,bucket,dynamics,pass_by_step
aiohttp:01ed18945cf331cff6c2221116d7678855a31167,aiohttp,8,0,0.0,1,57,57,57.0,-1,0.0,0.0,dead_hard,never_solved,57:0/8
aiohttp:0415a4ca18e15e734999925fd7f20607f05e2a4b,aiohttp,24,0,0.0,3,6,132,69.3,-1,0.0,0.0,dead_hard,never_solved,6:0/8;70:0/8;132:0/8
aiohttp:0e6bbbce2d19ba2b155b4c801e95365902cae6ef,aiohttp,16,0,0.0,2,63,124,93.5,-1,0.0,0.0,dead_hard,never_solved,63:0/8;124:0/8
aiohttp:10217d0a2e4eb97b0050fabe3f0aeae6d43c2071,aiohttp,16,0,0.0,2,22,148,85.0,-1,0.0,0.0,dead_hard,never_solved,22:0/8;148:0/8
aiohttp:1a389a53b21305d05cbe9f4fa64b271b5c42015f,aiohttp,16,0,0.0,2,57,119,88.0,-1,0.0,0.0,dead_hard,never_solved,57:0/8;119:0/8
aiohttp:1d761e172bcb5314a9f9dbcf3e0fb1e1ea8c995b,aiohttp,24,0,0.0,3,39,164,101.0,-1,0.0,0.0,dead_hard,never_solved,39:0/8;100:0/8;164:0/8
aiohttp:1e7faf857c9c68400848ba43a894479681736b0c,aiohttp,24,0,0.0,3,43,168,105.0,-1,0.0,0.0,dead_hard,never_solved,43:0/8;104:0/8;168:0/8
aiohttp:1e86b777e61cf4eefc7d92fa57fa19dcc676013b,aiohttp,24,0,0.0,3,51,177,113.7,-1,0.0,0.0,dead_hard,never_solved,51:0/8;113:0/8;177:0/8
aiohttp:216e082807d02fafaacca57fc883c86826b126d3,aiohttp,24,0,0.0,3,52,178,114.7,-1,0.0,0.0,dead_hard,never_solved,52:0/8;114:0/8;178:0/8
aiohttp:22a12cc2e2ef289d9e96fd87dfc17272177e52ac,aiohttp,24,0,0.0,3,2,127,64.7,-1,0.0,0.0,dead_hard,never_solved,2:0/8;65:0/8;127:0/8
aiohttp:249855ad9cdbdb3d6eca90a0a5b675c409274ab6,aiohttp,24,0,0.0,3,32,157,94.3,-1,0.0,0.0,dead_hard,never_solved,32:0/8;94:0/8;157:0/8
aiohttp:259edc369075de63e6f3a4eaade058c62af0df71,aiohttp,24,0,0.0,3,20,146,83.0,-1,0.0,0.0,dead_hard,never_solved,20:0/8;83:0/8;146:0/8
aiohttp:25ef450238864d06ba8a44227080e4a7b354ba76,aiohttp,24,0,0.0,3,49,176,112.0,-1,0.0,0.0,dead_hard,never_solved,49:0/8;111:0/8;176:0/8
aiohttp:29501d81ebd8b9cc31994d374db200a5d2d3681d,aiohttp,16,0,0.0,2,56,118,87.0,-1,0.0,0.0,dead_hard,never_solved,56:0/8;118:0/8
aiohttp:2ac5bbce5c7c6e3a442951ef7638b23f61b76a25,aiohttp,24,0,0.0,3,43,168,105.0,-1,0.0,0.0,dead_hard,never_solved,43:0/8;104:0/8;168:0/8
aiohttp:2b40f6b79fae3bc84ff90f7dee6b8e780716d179,aiohttp,24,0,0.0,3,6,132,69.3,-1,0.0,0.0,dead_hard,never_solved,6:0/8;70:0/8;132:0/8
aiohttp:2e4b0337e1ee4db3ceb5adc8276f94e11f8b09c3,aiohttp,8,0,0.0,1,8,8,8.0,-1,0.0,0.0,dead_hard,never_solved,8:0/8
aiohttp:3cc00d3cdbab8ec6cf511700b15e33858a608d40,aiohttp,24,0,0.0,3,47,173,109.7,-1,0.0,0.0,dead_hard,never_solved,47:0/8;109:0/8;173:0/8
aiohttp:4075c653fb67a29740bf9ac050bb02d10a57343a,aiohttp,24,0,0.0,3,47,173,109.7,-1,0.0,0.0,dead_hard,never_solved,47:0/8;109:0/8;173:0/8
aiohttp:42d30d52b774357a80badc20d40e83ce4c165b67,aiohttp,16,0,0.0,2,68,130,99.0,-1,0.0,0.0,dead_hard,never_solved,68:0/8;130:0/8
aiohttp:44d809f330aa249de582d8c3cdfd284fb4247483,aiohttp,24,0,0.0,3,42,167,104.3,-1,0.0,0.0,dead_hard,never_solved,42:0/8;104:0/8;167:0/8
