task,repo,commit_hash,docker_image,data_source,ability,has_problem,has_tests
aiohttp:006fbe03fede4eaa1eeba7b8393cbf4d63cb44b6,aiohttp,006fbe03fede4eaa1eeba7b8393cbf4d63cb44b6,namanjain12/aiohttp_final:006fbe03fede4eaa1eeba7b8393cbf4d63cb44b6,swe,swe,True,True
aiohttp:01ed18945cf331cff6c2221116d7678855a31167,aiohttp,01ed18945cf331cff6c2221116d7678855a31167,namanjain12/aiohttp_final:01ed18945cf331cff6c2221116d7678855a31167,swe,swe,True,True
aiohttp:02d8dba9a320e4d15d8d7539ca5fb6d93083bd26,aiohttp,02d8dba9a320e4d15d8d7539ca5fb6d93083bd26,namanjain12/aiohttp_final:02d8dba9a320e4d15d8d7539ca5fb6d93083bd26,swe,swe,True,True
aiohttp:032fb571f2c73605d855d4f17026b303c7441823,aiohttp,032fb571f2c73605d855d4f17026b303c7441823,namanjain12/aiohttp_final:032fb571f2c73605d855d4f17026b303c7441823,swe,swe,True,True
aiohttp:0415a4ca18e15e734999925fd7f20607f05e2a4b,aiohttp,0415a4ca18e15e734999925fd7f20607f05e2a4b,namanjain12/aiohttp_final:0415a4ca18e15e734999925fd7f20607f05e2a4b,swe,swe,True,True
aiohttp:04de888534815c80abf5025fb66c03c07cb1bb32,aiohttp,04de888534815c80abf5025fb66c03c07cb1bb32,namanjain12/aiohttp_final:04de888534815c80abf5025fb66c03c07cb1bb32,swe,swe,True,True
aiohttp:06b23989d9a80da93eddf285960e00a01b078151,aiohttp,06b23989d9a80da93eddf285960e00a01b078151,namanjain12/aiohttp_final:06b23989d9a80da93eddf285960e00a01b078151,swe,swe,True,True
aiohttp:07429ed0084b3cdd636b178d4eda6944a1809069,aiohttp,07429ed0084b3cdd636b178d4eda6944a1809069,namanjain12/aiohttp_final:07429ed0084b3cdd636b178d4eda6944a1809069,swe,swe,True,True
aiohttp:0813710e44b911e40809131521e108cdb8451c7b,aiohttp,0813710e44b911e40809131521e108cdb8451c7b,namanjain12/aiohttp_final:0813710e44b911e40809131521e108cdb8451c7b,swe,swe,True,True
aiohttp:087aecba1dc979b2aa0c2652475feaed7d96a71d,aiohttp,087aecba1dc979b2aa0c2652475feaed7d96a71d,namanjain12/aiohttp_final:087aecba1dc979b2aa0c2652475feaed7d96a71d,swe,swe,True,True
aiohttp:096bc9d5e6627074edfebb4d39090b06c082fc2c,aiohttp,096bc9d5e6627074edfebb4d39090b06c082fc2c,namanjain12/aiohttp_final:096bc9d5e6627074edfebb4d39090b06c082fc2c,swe,swe,True,True
aiohttp:0995007bb568652a4159eb38568f95d6adbf9f88,aiohttp,0995007bb568652a4159eb38568f95d6adbf9f88,namanjain12/aiohttp_final:0995007bb568652a4159eb38568f95d6adbf9f88,swe,swe,True,True
aiohttp:0c938122b0d94701899d48e99cd3db32af306739,aiohttp,0c938122b0d94701899d48e99cd3db32af306739,namanjain12/aiohttp_final:0c938122b0d94701899d48e99cd3db32af306739,swe,swe,True,True
aiohttp:0e6bbbce2d19ba2b155b4c801e95365902cae6ef,aiohttp,0e6bbbce2d19ba2b155b4c801e95365902cae6ef,namanjain12/aiohttp_final:0e6bbbce2d19ba2b155b4c801e95365902cae6ef,swe,swe,True,True
