task,repo,n,npass,p,v,keep,gt_class,gt_rank
aiohttp:8ad118b1d8b83ce0c0b61ae0cf8019c9a2fcd5ae,aiohttp,24,12,0.5000,0.9922,1,learnable,1
aiohttp:aaa889312e9ba8ec7a812adc31e3d61c8cad4a49,aiohttp,24,12,0.5000,0.9922,1,learnable,2
aiohttp:7a796a652790c213a6363c741b0b2c5231fbcca0,aiohttp,16,8,0.5000,0.9922,1,learnable,3
aiohttp:87342c791dfd4c916877ba3dffafb9345bb0491f,aiohttp,16,8,0.5000,0.9922,1,learnable,4
aiohttp:d697d4211b38e435fd59a0ced331989c8b258097,aiohttp,8,4,0.5000,0.9922,1,learnable,5
aiohttp:fca116274b5e7bc3fba09de23330c34ce78fc13b,aiohttp,16,8,0.5000,0.9922,1,learnable,6
aiohttp:4b6ff686b6d032aff74174e3c96712230172f1c7,aiohttp,24,13,0.5417,0.9906,1,learnable,98
aiohttp:9ba9a4e531599b9cb2f8cc80effbde40c7eab0bd,aiohttp,24,13,0.5417,0.9906,1,learnable,99
aiohttp:409c833db67ad5e32a124ace648234f540ed3f98,aiohttp,24,11,0.4583,0.9906,1,learnable,157
aiohttp:41968f892dfdd098d28d2f55561f5009461e661f,aiohttp,24,11,0.4583,0.9906,1,learnable,158
aiohttp:297ddaec57bbe07c1c51bbe5909a01eedab2ff87,aiohttp,24,11,0.4583,0.9906,1,learnable,159
aiohttp:493f06797654c383242f0e8007f6e06b818a1fbc,aiohttp,24,11,0.4583,0.9906,1,learnable,160
aiohttp:4592d03194ebd42638834519cdc65feb484a0f30,aiohttp,16,9,0.5625,0.9886,1,learnable,215
aiohttp:944e0f69daf956402595ae8462d4ac80f88b66b5,aiohttp,16,9,0.5625,0.9886,1,learnable,216
aiohttp:18de88ce1e0a176adb12bf9ee44783289c6bed63,aiohttp,16,7,0.4375,0.9886,1,learnable,217
aiohttp:c65a77cfc9d2f6a1550b20ca65e1342188f96f28,aiohttp,16,7,0.4375,0.9886,1,learnable,218
aiohttp:a74e8187bf55679772c3771036ce74ca28ddfa36,aiohttp,24,10,0.4167,0.9857,1,learnable,291
aiohttp:b1dda8709de19b94e745dc780f41e4c5e5122d91,aiohttp,24,10,0.4167,0.9857,1,learnable,292
aiohttp:312f747de91f20fa33af03fd368f857fbd32f36a,aiohttp,24,10,0.4167,0.9857,1,learnable,293
aiohttp:950f72c18266b55a9fcb93717b32828eae37719c,aiohttp,24,10,0.4167,0.9857,1,learnable,294
aiohttp:cdfed8b884ced3231b01c68a2f85bf2fbb94d30f,aiohttp,24,14,0.5833,0.9857,1,learnable,345
aiohttp:cd0a95758ec809099edc755c3fbff8b5f6a390a3,aiohttp,24,14,0.5833,0.9857,1,learnable,346
aiohttp:f0d74880deec8fcd982bce639c93c5e130d41198,aiohttp,16,10,0.6250,0.9763,1,learnable,394
aiohttp:82451b648f25fe6ad75725b824683bf9419be5fd,aiohttp,24,15,0.6250,0.9763,1,learnable,395
aiohttp:7f906a07e7a15fcabce08c89b4b6e310de033f7c,aiohttp,24,15,0.6250,0.9763,1,learnable,396
aiohttp:400feb641e51f3b9afe0eee9c73cafcb8a0d3744,aiohttp,24,15,0.6250,0.9763,1,learnable,397
aiohttp:8999d9b0563a4139701335fef1ae632e972e2e65,aiohttp,24,15,0.6250,0.9763,1,learnable,398
aiohttp:7fd5e73eb44d3f6a5df807d2393d46481a8c1c56,aiohttp,24,15,0.6250,0.9763,1,learnable,399
aiohttp:0fdcc291d6f4a35352d8feba39a9acf5f822c1a9,aiohttp,8,5,0.6250,0.9763,1,learnable,400
aiohttp:274c54e46c11e6f527326a3574eb984f90e0f740,aiohttp,16,6,0.3750,0.9763,1,learnable,401
aiohttp:032fb571f2c73605d855d4f17026b303c7441823,aiohttp,24,9,0.3750,0.9763,1,learnable,402
aiohttp:731f8dd9252757293aeab64ddb0a3123bc87a338,aiohttp,16,6,0.3750,0.9763,1,learnable,403
aiohttp:42fd75081a75a6ba7377b14262731add0e18f96d,aiohttp,8,3,0.3750,0.9763,1,learnable,404
aiohttp:3c31b3837404fa2fed3cdd42e89f9d6f25c6931e,aiohttp,24,16,0.6667,0.9608,1,learnable,631
aiohttp:86b97776aa454984daf2a9c42b686eb05b65bdf7,aiohttp,24,16,0.6667,0.9608,1,learnable,632
aiohttp:e058cbd14dd754c2b0138fdef28df58c5e3a2c5f,aiohttp,24,8,0.3333,0.9608,1,learnable,700
aiohttp:30850babb43a8e28dd2df036776c62fd613d3d89,aiohttp,24,8,0.3333,0.9608,1,learnable,701
aiohttp:618335186f22834c0d8daabcf53ccf44d42488a2,aiohttp,24,8,0.3333,0.9608,1,learnable,702
aiohttp:37e3aa4639193c6423562a4a4dfbf3310772b7a6,aiohttp,24,8,0.3333,0.9608,1,learnable,703
aiohttp:4c65ee880c46388484979ece26be95a76ce84329,aiohttp,24,8,0.3333,0.9608,1,learnable,704
aiohttp:430af0af6705b491309f7f4adeec148a39736628,aiohttp,24,8,0.3333,0.9608,1,learnable,705
aiohttp:8de41885d3bf5e296b77f574163bc4e07ae32287,aiohttp,24,8,0.3333,0.9608,1,learnable,706
aiohttp:a3fa8d85ff227f18270d83af215b8974386989f0,aiohttp,24,8,0.3333,0.9608,1,learnable,707
aiohttp:8e330d4c28e115858abbe9900c76e73c9efab71a,aiohttp,16,11,0.6875,0.9500,1,learnable,767
aiohttp:54b36e037856a72c6bfd451b75cdbababafbc07f,aiohttp,16,5,0.3125,0.9500,1,learnable,768
aiohttp:7531deefa3458aa87dcfa61c379fc5542621b67e,aiohttp,16,5,0.3125,0.9500,1,learnable,769
aiohttp:a7e240a9f625a0b9559bdf5f0049c71565352400,aiohttp,24,17,0.7083,0.9366,1,learnable,850
aiohttp:e1890ae56c8a878ac9603bd4a007de9106bab4ce,aiohttp,24,17,0.7083,0.9366,1,learnable,851
aiohttp:c7c52506c0802e70d1bf5655d16de63769b71fb9,aiohttp,24,7,0.2917,0.9366,1,learnable,852
aiohttp:991214a9fbadbca39284ee7c58c8f727cbfb811e,aiohttp,24,7,0.2917,0.9366,1,learnable,853
aiohttp:8220ced9f7515901cbf0976fb48ed867ff541241,aiohttp,24,7,0.2917,0.9366,1,learnable,854
aiohttp:8cf3ae42bd0b40c1766548ded25b90416a802acb,aiohttp,24,7,0.2917,0.9366,1,learnable,855
aiohttp:28342351fd0432bae9ef5684779feca25689e249,aiohttp,24,7,0.2917,0.9366,1,learnable,856
aiohttp:8d62de0b8726625e81e300b1ac9e92d2f5a705a8,aiohttp,16,12,0.7500,0.8999,1,learnable,970
aiohttp:9c50c9aae77cbba107fec00f67d056ac588e9fab,aiohttp,24,18,0.7500,0.8999,1,learnable,971
aiohttp:a2aa20dacbeb34544cc69765e20dabe5718c0d57,aiohttp,16,12,0.7500,0.8999,1,learnable,972
aiohttp:dd5b9784e71ba3d4e806ea1020189b401479e977,aiohttp,16,12,0.7500,0.8999,1,learnable,973
aiohttp:096bc9d5e6627074edfebb4d39090b06c082fc2c,aiohttp,16,12,0.7500,0.8999,1,learnable,974
aiohttp:0c938122b0d94701899d48e99cd3db32af306739,aiohttp,16,12,0.7500,0.8999,1,learnable,975
aiohttp:e2631c7c058796ac8fab88722cffd582300cdc0e,aiohttp,8,6,0.7500,0.8999,1,learnable,976
aiohttp:9bfc8660ff2fcb80437e644ddbc26ebb44f921ee,aiohttp,24,6,0.2500,0.8999,1,learnable,977
aiohttp:482e6cdf6516607360666a48c5828d3dbe959fbd,aiohttp,16,4,0.2500,0.8999,1,learnable,978
aiohttp:d2fbdefd269d4d79e54c703d636269bf52505bfb,aiohttp,24,6,0.2500,0.8999,1,learnable,979
aiohttp:96c415c353c85b2327541bc6858d853de8e8b333,aiohttp,24,6,0.2500,0.8999,1,learnable,980
aiohttp:eb54e6c010f55c02e49a36cb2e74b077f8aa77e4,aiohttp,24,6,0.2500,0.8999,1,learnable,981
aiohttp:5c0b8e4a7897f48063f684ac16e7dd18f6218274,aiohttp,16,4,0.2500,0.8999,1,learnable,982
aiohttp:9c932f71ec5a450954cee92ff9450974414ac1d8,aiohttp,24,6,0.2500,0.8999,1,learnable,983
aiohttp:006fbe03fede4eaa1eeba7b8393cbf4d63cb44b6,aiohttp,24,6,0.2500,0.8999,1,learnable,984
aiohttp:7eecdff163ccf029fbb1ddc9de4169d4aaeb6597,aiohttp,8,2,0.2500,0.8999,1,learnable,985
aiohttp:43f188c3201b8f086f7123b9fba5595f4a4faa50,aiohttp,8,2,0.2500,0.8999,1,learnable,986
aiohttp:62173bea1e4e3538d46e6e9b94d727d870d86879,aiohttp,24,6,0.2500,0.8999,1,learnable,987
aiohttp:0e8fe545dd78b2cb86286f4adc27f29fcb980578,aiohttp,16,4,0.2500,0.8999,1,learnable,988
aiohttp:af647c3cfc86920aa8303e1357a5dc21b88b7f9f,aiohttp,24,5,0.2083,0.8457,1,learnable,1244
aiohttp:306b4d0c4cbbf5e6257179f281254153517a5fc4,aiohttp,24,5,0.2083,0.8457,1,learnable,1245
aiohttp:b1bd55bde57654e0eec9c27b8745ddb2e345b1ba,aiohttp,24,19,0.7917,0.8457,1,learnable,1316
aiohttp:48a5e07ad833bd1a8fcb2ce6f85a41ad0cef9dc6,aiohttp,24,19,0.7917,0.8457,1,learnable,1317
aiohttp:2ae4d6ffdd015f622bfb75dee98ad629240cccc4,aiohttp,24,19,0.7917,0.8457,1,learnable,1318
aiohttp:b15c89558f1a52eb22ca400ff8624def096123d0,aiohttp,24,19,0.7917,0.8457,1,learnable,1319
aiohttp:a24d690a46f70fecb8b35ae4dda1fc41f982e226,aiohttp,24,19,0.7917,0.8457,1,learnable,1320
aiohttp:68f1e414133066c4f620201a09f71b20cda8bb29,aiohttp,24,19,0.7917,0.8457,1,learnable,1321
aiohttp:f7e4246114ce48335f224f36c2d4b058b02bea7b,aiohttp,24,19,0.7917,0.8457,1,learnable,1322
aiohttp:9dfc8bdb8247b9d7cc189f123d75e5e89ba866ab,aiohttp,16,13,0.8125,0.8101,1,learnable,1393
aiohttp:6198a56e67a65a4bc68d1661a1c4cb9201d455cd,aiohttp,16,13,0.8125,0.8101,1,learnable,1394
aiohttp:f53cc26904fa866cef144227572c37222a884ef0,aiohttp,16,13,0.8125,0.8101,1,learnable,1395
aiohttp:a076bea6894928c2b91d8547d5e9a77e1715985d,aiohttp,16,13,0.8125,0.8101,1,learnable,1396
aiohttp:396e33526ceb241f491d36cdaa72a31c6e0fae92,aiohttp,16,13,0.8125,0.8101,1,learnable,1397
aiohttp:c7ff47b3916aaa4bb94074660e6969dbf1b77305,aiohttp,16,13,0.8125,0.8101,1,learnable,1398
aiohttp:43f3e23b1c66ad8303fd1333ccb86c2301d07d15,aiohttp,16,3,0.1875,0.8101,1,learnable,1399
aiohttp:88d224f7c53dd1ff410a5dccada6a778039adba7,aiohttp,16,3,0.1875,0.8101,1,learnable,1400
aiohttp:c0e4490aa74767907ae43d491a753d033eaf07c0,aiohttp,16,3,0.1875,0.8101,1,learnable,1401
aiohttp:9726a679b4f1fe2247065f1a0f9b30dbd2495fda,aiohttp,24,20,0.8333,0.7674,1,learnable,1470
aiohttp:92ce18b0a7d677c4fbdfc835198725a24052179c,aiohttp,24,20,0.8333,0.7674,1,learnable,1471
aiohttp:fde031fe7b0d6060eab4ff13d588a882bb7a1ddb,aiohttp,24,20,0.8333,0.7674,1,learnable,1472
aiohttp:66921d58f5d7a07cc92f88cfe0a32d1f07e351cb,aiohttp,24,20,0.8333,0.7674,1,learnable,1473
aiohttp:800c7929cae8d9bb4605783a4d3b45ee9480840f,aiohttp,24,20,0.8333,0.7674,1,learnable,1474
aiohttp:45d6e4f14572bfc4cfc3f32a2c7c72a9cc28f125,aiohttp,24,4,0.1667,0.7674,1,learnable,1475
aiohttp:e3b1011f2146ad0faa4c3d3c29f26b73e1400564,aiohttp,24,4,0.1667,0.7674,1,learnable,1476
aiohttp:3b8fb5a2dcebc4703220f19010811b5ea9707707,aiohttp,24,4,0.1667,0.7674,1,learnable,1477
aiohttp:4a2e64fd3a9221cc30b0d6f5660e9e47ea64bc82,aiohttp,24,4,0.1667,0.7674,1,learnable,1478
aiohttp:74d9355b6cf9581361668ffd2d38a01b53b58297,aiohttp,24,4,0.1667,0.7674,1,learnable,1479
aiohttp:6104dde0eb17d390e8a89c03cbb1fc18d93cc3d0,aiohttp,24,4,0.1667,0.7674,1,learnable,1480
aiohttp:d2286ff6f0ebf3f477822dd081e257aa25a1477d,aiohttp,24,4,0.1667,0.7674,1,learnable,1481
aiohttp:98e3a9181d7b3264d7ebd7955a01ba9a08df9dc3,aiohttp,16,14,0.8750,0.6564,1,learnable,1617
aiohttp:91751450c87e73d26d1464c6a61133e298b26ae2,aiohttp,16,14,0.8750,0.6564,1,learnable,1618
aiohttp:aa2d9ddd875c54863dfa6620ac75dd9e1ed4ed3a,aiohttp,16,14,0.8750,0.6564,1,learnable,1619
aiohttp:92cd425bca4c0bbd9be84def71951234159ca44f,aiohttp,24,21,0.8750,0.6564,1,learnable,1620
aiohttp:bff76313298d8b2c7539f9dc496801ee86ab7097,aiohttp,16,14,0.8750,0.6564,1,learnable,1621
aiohttp:1f3a6be48a99767560ccf3f9e923a9a3a6fc1352,aiohttp,24,21,0.8750,0.6564,1,learnable,1622
aiohttp:087aecba1dc979b2aa0c2652475feaed7d96a71d,aiohttp,24,21,0.8750,0.6564,1,learnable,1623
aiohttp:b2e1294f700eae58a87085b6342d7eb5ed105700,aiohttp,24,21,0.8750,0.6564,1,learnable,1624
aiohttp:04de888534815c80abf5025fb66c03c07cb1bb32,aiohttp,16,14,0.8750,0.6564,1,learnable,1625
aiohttp:b97d9a97b239e33bc3f8df321defa853864a639e,aiohttp,24,21,0.8750,0.6564,1,learnable,1626
aiohttp:28cb7d707e90fe1d8a1f7dcbf853acc831a6423c,aiohttp,24,21,0.8750,0.6564,1,learnable,1627
aiohttp:c3789965cdf023d5069d1f04e853a3c6f7a7ab3d,aiohttp,24,21,0.8750,0.6564,1,learnable,1628
aiohttp:dd3fabd091bf40137ff87a66b226b47f172a0298,aiohttp,8,7,0.8750,0.6564,1,learnable,1629
aiohttp:2c7f760e00dd695854322f86cd5f1c2b1289c983,aiohttp,16,14,0.8750,0.6564,1,learnable,1630
aiohttp:3d41df0e8f0473c8e553f2f0446c7a35646320ea,aiohttp,24,3,0.1250,0.6564,1,learnable,1631
aiohttp:c2d9c1904a5bf43aced8d5a5dc579ee80d2573b1,aiohttp,24,3,0.1250,0.6564,1,learnable,1632
aiohttp:fa628a2170cc03b82f32ea4e3812f41d015125e3,aiohttp,8,1,0.1250,0.6564,1,learnable,1633
aiohttp:aa2308fb632bce8eb056d66f7cdb51a469f2572e,aiohttp,8,1,0.1250,0.6564,1,learnable,1634
aiohttp:06b23989d9a80da93eddf285960e00a01b078151,aiohttp,24,3,0.1250,0.6564,1,learnable,1635
aiohttp:f0caa654b2db87d65159951094b3c7fc5d396caf,aiohttp,16,2,0.1250,0.6564,1,learnable,1636
aiohttp:e40283338eab5b501e8e91e5b24c2c38cb1a0c71,aiohttp,24,3,0.1250,0.6564,1,learnable,1637
aiohttp:898aa280f20c740ae7e3c020546d5be925bb6ddc,aiohttp,24,3,0.1250,0.6564,1,learnable,1638
aiohttp:f21c6f2ca512a026ce7f0f6c6311f62d6a638866,aiohttp,24,3,0.1250,0.6564,1,learnable,1639
aiohttp:20d5f6e5421b1794b1d8370ab80b9deddf24f6da,aiohttp,16,2,0.1250,0.6564,1,learnable,1640
aiohttp:45147c4e18d20ee7a4007fb3ee399487e319d9ad,aiohttp,8,1,0.1250,0.6564,1,learnable,1641
aiohttp:cdb5129afc79bb9e073ed6ad2fcb352efa2962c2,aiohttp,16,2,0.1250,0.6564,1,learnable,1642
aiohttp:e74a4a02893c2b0a90ddcd8935ac9cdb946f2f1c,aiohttp,16,2,0.1250,0.6564,1,learnable,1643
